"Gene","Expression"
"A1BG",57.7688
"A1CF",0
"A2BP1",4961.2507
"A2LD1",47.2898
"A2ML1",163.9308
"A2M",4851.7878 
"A4GALT",53.1547
"A4GNT",0
"AAA1",0
"AAAS",402.9034
"AACSL",4.9135
"AACS",1369.0676
"AADACL2",0
"AADACL3",0
"AADACL4",0
"AADAC",0
"AADAT",252.8197
"AAGAB",1143.9419
"AAK1",4795.9799
"AAMP",2436.1809
"AANAT",3.5734
"AARS2",499.3546
"AARSD1",893.3557
"AARS",8351.0888
"AASDHPPT",2548.2792
"AASDH",239.4193
"AASS",400.2233
"AATF",578.8945
"AATK",3508.7839
"ABAT",11847.2362
"ABCA10",32.1608
"ABCA11P",140.0335
"ABCA12",4.4668
"ABCA13",7.1468
"ABCA17P",26.8007
"ABCA1",603.0151
"ABCA2",11851.2563
"ABCA3",4749.0787
"ABCA4",10.7203
"ABCA5",764.7125
"ABCA6",12.507
"ABCA7",305.9743
"ABCA8",510.1061
"ABCA9",117.0296
"ABCB10",289.0006
"ABCB11",0
"ABCB1",527.5265
"ABCB4",11.1669
"ABCB5",0
"ABCB6",713.282
"ABCB7",184.0313
"ABCB8",845.1145
"ABCB9",606.3741
"ABCC10",374.7627
"ABCC11",19.6538
"ABCC12",103.1826
"ABCC13",1.34
"ABCC1",370.7426
"ABCC2",3.5734
"ABCC3",13.4003
"ABCC4",163.4841
"ABCC5",2129.7599
"ABCC6P1",4.0201
"ABCC6P2",10.2736
"ABCC6",19.2071
"ABCC8",1018.8721
"ABCC9",253.2663
"ABCD1",82.6354
"ABCD2",411.837
"ABCD3",959.9107
"ABCD4",423.0039
"ABCE1",1100.1675
"ABCF1",1207.3702
"ABCF2",1758.5706
"ABCF3",1348.5204
"ABCG1",593.6348
"ABCG2",754.8855
"ABCG4",518.593
"ABCG5",3.5734
"ABCG8",5.3601
"ABHD10",1018.8721
"ABHD11",265.7733
"ABHD12B",77.7219
"ABHD12",2525.5165
"ABHD13",387.7164
"ABHD14A",868.1541
"ABHD14B",298.8275
"ABHD15",91.569
"ABHD1",28.5874
"ABHD2",4519.933
"ABHD3",213.9587
"ABHD4",746.8453
"ABHD5",385.9296
