"Gene","Expression"
"A1BG",97.1001
"A1CF",0.3836
"A2BP1",69.4285
"A2LD1",21.3617
"A2ML1",157.2689
"A2M",9554.6529
"A4GALT",109.7046
"A4GNT",0.7672
"AAA1",0
"AAAS",838.1281
"AACSL",0.3836
"AACS",404.2961
"AADACL2",0
"AADACL3",0
"AADACL4",0
"AADAC",0
"AADAT",398.926
"AAGAB",452.6275
"AAK1",770.234
"AAMP",2485.6157
"AANAT",3.8358
"AARS2",456.8393
"AARSD1",537.0157
"AARS",6161.1047
"AASDHPPT",1841.9639
"AASDH",290.7557
"AASS",1388.1857
"AATF",1273.1109
"AATK",4649.3556
"ABAT",11974.3
"ABCA10",6.5209
"ABCA11P",170.3529
"ABCA12",3.4522
"ABCA13",0.3836
"ABCA17P",53.7016
"ABCA1",1690.817
"ABCA2",16998.8493
"ABCA3",3704.6414
"ABCA4",2.6851
"ABCA5",117.7599
"ABCA6",44.112
"ABCA7",110.4718
"ABCA8",1539.7008
"ABCA9",36.4404
"ABCB10",351.3617
"ABCB11",1.1507
"ABCB1",693.901
"ABCB4",28.0015
"ABCB5",0
"ABCB6",1009.8197
"ABCB7",365.1707
"ABCB8",751.0549
"ABCB9",182.5316
"ABCC10",388.5692
"ABCC11",18.7956
"ABCC12",0
"ABCC13",0
"ABCC1",328.3468
"ABCC2",5.7537
"ABCC3",1.1507
"ABCC4",584.1964
"ABCC5",1462.9843
"ABCC6P1",13.4254
"ABCC6P2",21.4806
"ABCC6",45.2628
"ABCC8",812.4281
"ABCC9",480.2455
"ABCD1",235.1362
"ABCD2",152.6659
"ABCD3",1318.3736
"ABCD4",1024.1657
"ABCE1",1560.7979
"ABCF1",1710.3951
"ABCF2",1156.8853
"ABCF3",1079.018
"ABCG1",853.0878
"ABCG2",1648.6383
"ABCG4",7.6717
"ABCG5",3.4522
"ABCG8",0.7672
"ABHD10",973.9164
"ABHD11",190.257
"ABHD12B",18.7956
"ABHD12",1847.7177
"ABHD13",498.6575
"ABHD14A",669.9118
"ABHD14B",602.9919
"ABHD15",100.1151
"ABHD1",26.8508
"ABHD2",5100.8822
"ABHD3",429.6126
"ABHD4",2342.9229
"ABHD5",797.4684
"ABHD6",1139.6241
"ABHD8",403.9125
"ABI1",2640.9935
"ABI2",4734.9444
"ABI3BP",621.7875
"ABI3",129.6509
"ABL1",3855.0058
"ABL2",1182.2018
"ABLIM1",4934.4074
"ABLIM2",166.0913
"ABLIM3",1433.4484
"ABO",3.4522
"ABP1",0.3836
"ABRA",0.3836
"ABR",5775.9877
"ABT1",370.9244
"ABTB1",433.4484
"ABTB2",921.3656
"ACAA1",1185.2704
"ACAA2",377.4453
"ACACA",2617.1845
"ACACB",327.5796
"ACAD10",453.0111
"ACAD11",777.1385
"ACAD8",844.2654
"ACAD9",661.2965
"ACADL",8.0552
"ACADM",769.0832
"ACADSB",786.3445
"ACADS",286.1527
"ACADVL",2631.2773
"ACAN",375.1438
"ACAP1",4.603
"ACAP2",1348.2931
"ACAP3",4748.3698
"ACAT1",1673.1876
"ACAT2",1465.7192
"ACBD3",971.2313
"ACBD4",303.7975
"ACBD5",2349.8274
"ACBD6",520.1381
"ACBD7",1401.2275
"ACCN1",27.2344
"ACCN2",6420.023
"ACCN3",154.5838
"ACCN4",2220.1764
"ACCN5",0
"ACCSL",0.3836
"ACCS",37.5911
"ACD",579.977
"ACE2",1.1507
"ACER1",0
"ACER2",27.2344
"ACER3",952.0522
"ACE",114.6912
"ACHE",118.9106
"ACIN1",3009.206
"ACLY",3571.5382
"ACMSD",0
"ACN9",172.2286
"ACO1",1128.8838
"ACO2",5160.0806
"ACOT11",97.43
"ACOT12",0.3836
"ACOT13",525.7998
"ACOT1",313.387
